number,wallet,ETH-zksync,WETH-zksync,USDC-zksync
1,0x033cf1b8acec429a552dc2455b8e88ada87e6b4e,0.000621,0,0
2,0x1725a3d30663eb0bb3488574335b3858ff60a6ab,0.00062,0,0
3,0xede8fc575e53c0fbaa8534c99375c00b05604485,0.000619,0,0
4,0x427c77b0b1a9274d0eebc30bc0c22846e72f1979,0.000619,0,0
5,0x12bc31454d20f2d916cd4b6bfb6cdd2ed638d629,0.000619,0,0
6,0x35635bc922f5d0eb97519e7dbf39ff4525fd568a,0.000619,0,0
7,0xd88d69f9d8bb88322330719a2b588bfee55c79aa,0.000621,0,0
8,0x5d6fdfc6f68d8de7fcd214e6ea546d13408c21cc,0.00062,0,0
9,0x482b4c5333c84fe8add9b52eb232e1d0e6570af6,0.000621,0,0
10,0x86f8c19fcb97cdf4e4eb6e793334425c4703fb94,0.00062,0,0
11,0x0c92cdfa08b3508a5d950b61fd322a9172b1e393,0.00062,0,0
12,0x333ff58c7bd8bee87ec5a03119a68372049f4b53,0.000619,0,0
13,0x1cd74239e152aaedb603460235d691f05b15a196,0.000619,0,0
14,0x1cca16e1326f58a186dd6e01c91031bbc2cffbc3,0.000619,0,0
15,0xf3149dc1ffbdac538a895e60910dd0deaaf71e70,0.00062,0,0
16,0x82d6b8d04b5a1cf296be69c520e9090d02681a4a,0.000619,0,0
17,0x7435853cec756dc36b22610d85d1685d10d1687a,0.00062,0,0
18,0xef3677edb8cef2f88b01be1e486619626405ba04,0.00062,0,0
19,0x58cd07559f09c7259b47381529110de2181b896c,0.000619,0,0
20,0x7de51e45855501a34abd1f53e66d3421e7763ec2,0.000619,0,0
21,0xedf63119a58d00ce0f0d9cf3afc4d213fd6d5ed9,0.00062,0,0
22,0xbcab06973ca075f371578d23cda66bae5ef37218,0.00062,0,0
23,0x2ea8eb12de89b655c740195b6c9d4b86fa390c69,0.000619,0,0
24,0x94bda34005e1346c38c9c40a98f87ac7bc97d986,0.000619,0,0
25,0x44cd074b77691b9f88ef8f4b32f1e16ace4498da,0.000621,0,0
26,0x11321d0a05d9d47fc999693b9a27309ca81021d2,0.00062,0,0
27,0x4c8df12ddfd9d4f4bdcad9575c2f7512afbc491e,0.00062,0,0
28,0x54d0e0edecba60ed092aafba6d5abaa730f2f4c2,0.000619,0,0
29,0x6011cebb074b5e511f24d5913066c32f1c066e91,0.000621,0,0
30,0xf2ed5b1f2b08be92dfca919a6e7f381232c9db69,0.00062,0,0
31,0xcad3b5d418602b6596ce7b84a2df71e8ce21fdf1,0.000621,0,0
32,0xba8034b043933d202ac4402d80c154fcba503cda,0.00062,0,0
33,0x49f6ad62d067d3e63b1d44f62e652c85bcd09b0b,0.000619,0,0
34,0x651dae6a4ac148a0edcac2bb232948cc897f16da,0.00062,0,0
35,0xde56e0242f3d664bff5fe93d6419fb5283eee873,0.000621,0,0
36,0xce995ccebc285e4a7483debc6ff385df6a508adc,0.00062,0,0
37,0xca857c5b950bf4ea4d8edb4e8d851e5e5c0c9f2d,0.000619,0,0
38,0x522445f7e63a9eab032c4d424ba9c20bb1765859,0.000621,0,0
39,0x7668230d03dc23b6ef00ee6cc23c11cf473ea9fd,0.000619,0,0
40,0xec7e7458995c51db69d3ea3dab141dade3fe4a1c,0.00062,0,0
41,0xb0a9cbd4238dedc4348ba5d5c0af517fe52ed80e,0.000619,0,0
42,0xb9b79e37596f982736798af3dcfe1da8fcf33942,0.000619,0,0
43,0x87492001c5d8795d18e66cf9dc0bda4ab5b28f8f,0.000619,0,0
44,0xc72687f1f15640aa22f65b8a26f30d87de69cc39,0.00062,0,0
45,0x139775fbd181234118bc8af42bae834a607fd0ce,0.000619,0,0
46,0xf97a0cbf6ebebf41b37322e54754d37ec6d8c1b1,0.000619,0,0
47,0x009f6bd11de0ab948d45fa8b9f72f6ecbbc9e8e3,0.00062,0,0
48,0x444b5fde1093be9c75798235e4c2badea078b501,0.000618,0,0
49,0x046920f4163880732d4b146e6e96f4c0d44dd4a9,0.000619,0,0
50,0x5cd6d7c357261357bfba4f59782e84a6a8eb9328,0.000619,0,0
51,0xe5b4ed7af2b6181e0f2c25a5b11526a9bfd27e86,0.000619,0,0
52,0x4859f73859c9fd0e359aadb0263148c4a3814635,0.00062,0,0
53,0xebf7ff98bb5c4564595391b8e152930eeb5c8d39,0.00062,0,0
54,0x63bfad8ab9fcc2734394939b01d06a11d7df19f9,0.00062,0,0
55,0x5262a17ff80eadad79a1a7ff24a73a82eaf9d20f,0.00062,0,0
56,0x4a429e2f918b4990efc5a6ce5a5afac6fb7d138f,0.000621,0,0
57,0xdc06fff0f75eff3435c35906cc299eee96ab971c,0.000619,0,0
58,0x59c14020eec9d2afb0cdae40682d204ff66b85b0,0.000619,0,0
59,0x91646e5cf07e5c68e45bb4375f1933178fd0ece0,0.000619,0,0
60,0xcb0f265f8d6193140c31d204dcec1903cbdc1e24,0.00062,0,0
61,0xbdf4af488420d16c27f81e0e832f6763cbfdd725,0.000619,0,0
62,0x6506be826d9047ef82640f002ee682da7575e56c,0.00062,0,0
63,0x857e77ef6559d7d3d5ce38b3b40535e62f906ec1,0.000618,0,0
64,0x497e3118fbdcb471afbbde471865dabf6d33658e,0.000619,0,0
65,0xb0007b94175b8c5dde35490ff0c7c62e2af3f795,0.00062,0,0
66,0xd9c8e2cb0e874ae542771abaf2a6c0be9cfc9dc2,0.000619,0,0
67,0x5b63acd947211222565fc93085fe81f3741bd005,0.000621,0,0
68,0x159ada8b7370f78fa7c5bd911476935a6c41c3f5,0.00062,0,0
69,0x73f68b328502923ac09b466232dfd0a9e3a1c0f6,0.00062,0,0
70,0xe3131114b4c5343089b869bdd090e5b7b37aba28,0.000619,0,1e-06
71,0x256d8436bd236a37e337e688b9ab2c49cf27d507,0.00062,0,0
72,0xc0d3b5c1358271f5bdfd764f6177378de131266d,0.00062,0,0
73,0xfbba3be3ce4f14470d666f1336bb3dc388ffc842,0.000619,0,0
74,0x99c1d7455ef668c7cfa7f6392a72278a9301ad4b,0.000619,0,0
75,0x14430a0c6dd741e8ab9085f98eb9f2b508539ef8,0.000618,0,0
76,0xf5a0de051de53a505e16b4bcd6fa13268de6e964,0.00062,0,0
77,0x3c29a4bf734e52f209c8175a03ed518f19366056,0.000619,0,0
78,0x63dc4bfd7bba0bec12c31e8a004d63eabb8078d7,0.000619,0,0
79,0xfeac0707220efc29b3d5c2b182dc7c160db448b8,0.000619,0,0
80,0x3b86a4d7c0113a051636bc8deeef1e598910b3c4,0.000619,0,0
81,0x099b5f9f1d33ec6a58e69106d96a25ddad35a573,0.00062,0,0
82,0x8befb3c0908a412d8908df5991dcb81409346d9c,0.00062,0,0
83,0x2e8ea3436c1efc510b7c8cd350d11324997e9b4e,0.000619,0,0
84,0x1e5ad5f2f3f1fdaa073e9b603876e22e55e07176,0.000619,0,0
85,0x9c7d2e238ee48ec10c53aa26b475e33725185db0,0.000619,0,0
86,0xbd3984aa37dfdc3dabed3edcdcd7b929c3f48b48,0.000621,0,0
87,0x5c737ca859c14880376d0617c1ad077da40d8f13,0.000619,0,0
88,0x6c93861af8f3ee8cdbc8b467ad2459af0cf7e110,0.00062,0,1e-06
89,0xd8db054deef349f3072433f4f63be4b473f20b09,0.00062,0,0
90,0x98fafd1dac52593da517797d887f43bb94627927,0.000618,0,0
91,0x834e01bb93b48f1690e9455bb2d08b44e0fbdbeb,0.000619,0,0
92,0x13c2bd165130309964bcca50e7da7bba96d24662,0.000619,0,0
93,0x678d3491a39958485279c204e16b0659786f729e,0.000618,0,0
94,0x1258acf57bb8fd015659056ec82562715d5f98c7,0.00062,0,0
95,0x3cb0131423453ca935faa6fc0b89bb3a418633e0,0.00062,0,0
96,0xe47e9763efd1f847347182a29d780e9f3f8a5996,0.00062,0,0
97,0x25430c6e7c2f9e5a7a770774343b6f58e09ee1dd,0.00062,0,0
98,0xebfccf1e34bba65cd9f2d91a66bd03632352f495,0.000621,0,0
99,0xdaef87d22a24a4e71a78d87148a68c310325abcb,0.000612,0,0
100,0x0be9bbb8b3dafa70f5604eadbf779c6c38916761,0.000619,0,0
101,0x0a2f35086c5e5aa7321f324466e4fb49ab3aadbe,0.00062,0,0
102,0x07118eb217dd4458317244bf31cf3f26cea58cb9,0.000619,0,0
103,0x3283b1d64030ea34a191e607473d957b4798d774,0.000621,0,0
104,0x041c71e154c8d1568afacd554127f5ef3d7f4278,0.000618,0,0
105,0x0e79e8b5881d14ef148a519998a912a694c1a782,0.000619,0,0
106,0x0f84b60ea764f3246c9b78a914143dc5e4b324c6,0.00062,0,0
107,0xe82f22f94576a6d0eb32d5ad7593fe1521098772,0.00062,0,0
108,0xa6dda6e74d8e5bd635f28d05fe5d95def114c01f,0.000619,0,0
109,0x7a83c516462496cba947616a60dca0ad1e1744ec,0.00062,0,0
110,0x4d8bbdf831341588f14e218f4688631d2718cafd,0.00062,0,0
111,0x273f1deea81118d0fe16a45ed1179652c503321c,0.000618,0,0
